#####    flow0  flow1  rxtr   txtr   tpr  
212      36     83     19442  23686  82   
213      33     86     18378  23470  78   
214      30     89     17615  23707  74   
215      27     92     16792  23722  70   
216      25     94     16362  23342  70   
217      23     96     15962  22976  69   
218      22     97     15748  22739  69   
219      21     98     15419  22335  69   
220      20     99     15360  22336  68   
221      20     99     15358  22345  68   
222      20     99     15327  22317  68   
223      20     99     15275  22319  68   
224      21     98     15461  22488  68   
225      22     97     15511  22484  68   
226      24     95     16043  23072  69   
227      26     93     16444  23489  70   
228      28     91     16863  23668  71   
229      30     89     17453  23731  73   
230      33     86     18392  23684  77   
231      37     83     19563  23889  81   
232      40     79     20488  23465  87   
233      43     76     21781  23749  91   
234      47     72     22945  23717  96   
235      51     68     23667  23716  99   
236      55     64     23738  23738  100  
237      59     60     23724  23724  100  
238      63     56     23474  23474  100  
239      67     52     23724  23724  100  
240      71     48     23246  23714  98   
241      75     44     22467  23707  94   
242      78     41     21830  23690  92   
243      82     37     21077  23663  89   
244      85     34     20223  23459  86   
245      88     31     19875  23670  83   
246      91     29     19460  23814  81   
247      93     26     18854  23645  79   
248      95     24     18425  23630  77   
249      97     22     17931  23650  75   
250      98     21     17661  23388  75   
251      99     20     17618  23600  74   
252      99     20     17635  23593  74   
