#idx, ts,vnf0(nfvi0),tpr,ncore,vnf1(nfvi0),tpr,ncore
113, 224019, 7393240, 85, 8, 10047000, 77, 4
114, 224020, 7476190, 100, 8, 10170100, 77, 4
115, 224021, 7812480, 88, 8, 9641800, 80, 4
116, 224022, 7996020, 89, 8, 9474790, 81, 4
117, 224023, 8196740, 89, 8, 9454900, 82, 4
118, 224024, 8580420, 89, 8, 8882310, 87, 4
119, 224025, 8672010, 100, 8, 8967270, 87, 4
120, 224027, 9175620, 89, 8, 8283720, 93, 4
121, 224028, 9387120, 89, 8, 8278440, 94, 4
122, 224029, 9760920, 100, 8, 7684470, 98, 4
123, 224030, 9871840, 100, 8, 7779930, 98, 4
124, 224031, 10162000, 100, 8, 7287310, 98, 4
125, 224032, 10344400, 91, 8, 7107850, 98, 4
126, 224033, 10567700, 91, 8, 7074960, 98, 4
127, 224034, 10922500, 92, 8, 6512300, 97, 4
128, 224035, 11039100, 91, 8, 6576150, 97, 4
129, 224036, 11317600, 100, 8, 6111480, 97, 4
130, 224037, 11507600, 100, 8, 5914720, 96, 4
131, 224038, 11739400, 100, 8, 5884150, 96, 4
132, 224039, 12110900, 93, 8, 5328490, 95, 4
133, 224040, 12244300, 93, 8, 5393200, 95, 4
134, 224041, 12314600, 93, 8, 5129300, 100, 4
135, 224042, 12423200, 93, 8, 5039190, 95, 4
136, 224043, 12656900, 93, 8, 4442550, 95, 4
137, 224045, 13141800, 94, 8, 4486960, 95, 4
138, 224046, 13194000, 94, 8, 4247180, 100, 4
139, 224047, 13440200, 94, 8, 4188960, 96, 4
140, 224048, 13340800, 95, 8, 4100000, 95, 4
141, 224049, 13580400, 95, 8, 3845380, 96, 4
142, 224050, 13729000, 95, 8, 3891340, 96, 4
143, 224051, 13773800, 95, 8, 3652920, 96, 4
144, 224052, 14029000, 100, 8, 3595200, 96, 4
145, 224053, 13915600, 95, 8, 3505530, 100, 4
146, 224054, 14185000, 96, 8, 3260280, 96, 4
147, 224055, 14336700, 100, 8, 3292090, 96, 4
148, 224056, 14369500, 96, 8, 3066050, 96, 4
149, 224057, 14639800, 96, 8, 2993500, 94, 4
150, 224058, 14478200, 96, 8, 2962930, 96, 4
151, 224059, 14470300, 96, 8, 2958960, 96, 4
152, 224100, 14639600, 96, 8, 2960000, 100, 4
153, 224102, 14585700, 96, 8, 2985190, 96, 4
154, 224103, 12504100, 96, 8, 2555190, 100, 4
155, 224104, 0, 100, 8, 0, 100, 4
156, 224106, 0, 100, 8, 0, 100, 4
157, 224107, 0, 100, 8, 0, 100, 4
158, 224108, 0, 100, 8, 0, 100, 4
159, 224109, 0, 100, 8, 0, 100, 4
160, 224110, 0, 100, 8, 0, 100, 4
161, 224111, 0, 100, 8, 0, 100, 4
162, 224112, 0, 100, 8, 0, 100, 4
163, 224113, 0, 100, 8, 0, 100, 4
164, 224114, 0, 100, 8, 0, 100, 4
165, 224115, 0, 100, 8, 0, 100, 4
166, 224116, 0, 100, 8, 0, 100, 4
167, 224117, 0, 100, 8, 0, 100, 4
168, 224118, 0, 100, 8, 0, 100, 4
169, 224119, 0, 100, 8, 0, 100, 4
170, 224121, 0, 100, 8, 0, 100, 4
171, 224122, 0, 100, 8, 0, 100, 4
172, 224123, 0, 100, 8, 0, 100, 4
173, 224124, 0, 100, 8, 0, 100, 4
174, 224125, 0, 100, 8, 0, 100, 4
175, 224126, 0, 100, 8, 0, 100, 4
176, 224127, 0, 100, 8, 0, 100, 4
177, 224128, 0, 100, 8, 0, 100, 4
178, 224129, 0, 100, 8, 0, 100, 4
179, 224130, 0, 100, 8, 0, 100, 4
180, 224131, 0, 100, 8, 0, 100, 4
181, 224132, 0, 100, 8, 0, 100, 4
182, 224133, 0, 100, 8, 0, 100, 4
183, 224134, 0, 100, 8, 0, 100, 4
184, 224135, 0, 100, 8, 0, 100, 4
185, 224136, 0, 100, 8, 0, 100, 4
186, 224138, 0, 100, 8, 0, 100, 4
187, 224139, 0, 100, 8, 0, 100, 4
188, 224140, 0, 100, 8, 0, 100, 4
189, 224141, 0, 100, 8, 0, 100, 4
190, 224142, 0, 100, 8, 0, 100, 4
191, 224143, 0, 100, 8, 0, 100, 4
192, 224144, 0, 100, 8, 0, 100, 4
193, 224145, 0, 100, 8, 0, 100, 4
194, 224146, 0, 100, 8, 0, 100, 4
195, 224147, 0, 100, 8, 0, 100, 4
196, 224148, 0, 100, 8, 0, 100, 4
197, 224149, 0, 100, 8, 0, 100, 4
198, 224150, 0, 100, 8, 0, 100, 4
199, 224151, 0, 100, 8, 0, 100, 4
200, 224152, 0, 100, 8, 0, 100, 4
201, 224153, 0, 100, 8, 0, 100, 4
202, 224155, 0, 100, 8, 0, 100, 4
203, 224156, 0, 100, 8, 0, 100, 4
204, 224157, 0, 100, 8, 0, 100, 4
205, 224158, 0, 100, 8, 0, 100, 4
206, 224159, 0, 100, 8, 0, 100, 4
207, 224200, 0, 100, 8, 0, 100, 4
208, 224201, 0, 100, 8, 0, 100, 4
209, 224202, 0, 100, 8, 0, 100, 4
210, 224203, 0, 100, 8, 0, 100, 4
211, 224204, 0, 100, 8, 0, 100, 4
212, 224205, 0, 100, 8, 0, 100, 4
213, 224206, 0, 100, 8, 0, 100, 4
214, 224207, 0, 100, 8, 0, 100, 4
215, 224208, 0, 100, 8, 0, 100, 4
216, 224209, 0, 100, 8, 0, 100, 4
217, 224210, 0, 100, 8, 0, 100, 4
218, 224212, 0, 100, 8, 0, 100, 4
219, 224213, 0, 100, 8, 0, 100, 4
220, 224214, 0, 100, 8, 0, 100, 4
221, 224215, 0, 100, 8, 0, 100, 4
222, 224216, 0, 100, 8, 0, 100, 4
223, 224217, 0, 100, 8, 0, 100, 4
224, 224218, 0, 100, 8, 0, 100, 4
225, 224219, 0, 100, 8, 0, 100, 4
226, 224220, 0, 100, 8, 0, 100, 4
227, 224221, 0, 100, 8, 0, 100, 4
228, 224222, 0, 100, 8, 0, 100, 4
229, 224223, 0, 100, 8, 0, 100, 4
230, 224224, 0, 100, 8, 0, 100, 4
231, 224225, 0, 100, 8, 0, 100, 4
232, 224226, 0, 100, 8, 0, 100, 4
233, 224227, 0, 100, 8, 0, 100, 4
234, 224229, 0, 100, 8, 0, 100, 4
