#idx, ts,vnf0(nfvi0),tpr,ncore,vnf1(nfvi0),tpr,ncore
0, 171738, 0, 100, 5, 0, 100, 5
1, 171739, 0, 100, 5, 0, 100, 5
2, 171740, 0, 100, 5, 0, 100, 5
3, 171741, 0, 100, 5, 0, 100, 5
4, 171742, 0, 100, 5, 0, 100, 5
5, 171744, 9027530, 62, 5, 1306180, 95, 5
6, 171745, 16342400, 61, 5, 2379790, 96, 5
7, 171746, 16349500, 61, 5, 2383080, 100, 5
8, 171747, 16346300, 61, 5, 2380220, 96, 5
9, 171748, 16342000, 61, 5, 2043380, 96, 5
10, 171749, 16331800, 61, 5, 1188290, 97, 5
11, 171750, 16329900, 61, 5, 1190020, 97, 5
12, 171751, 16332200, 61, 5, 1188220, 100, 5
13, 171752, 16332000, 61, 5, 1190140, 97, 5
14, 171753, 16335600, 61, 5, 1942460, 100, 5
15, 171755, 16340100, 61, 5, 2378580, 100, 5
16, 171756, 16341200, 61, 5, 1695780, 96, 5
17, 171757, 16338900, 61, 5, 1188670, 97, 5
18, 171758, 16333700, 61, 5, 1190210, 100, 5
19, 171759, 16334700, 61, 5, 1188330, 97, 5
20, 171800, 16333100, 61, 5, 1190170, 100, 5
21, 171801, 16334900, 61, 5, 2306690, 95, 5
22, 171802, 16335100, 61, 5, 2380730, 96, 5
23, 171803, 16337200, 61, 5, 2378860, 100, 5
24, 171804, 16340500, 61, 5, 2381590, 100, 5
25, 171805, 16340300, 61, 5, 2379500, 100, 5
26, 171806, 16340600, 61, 5, 2381550, 96, 5
27, 171807, 16342400, 61, 5, 2379340, 96, 5
28, 171809, 16343300, 61, 5, 2378980, 100, 5
29, 171810, 16342100, 61, 5, 2381730, 96, 5
30, 171811, 16341000, 61, 5, 2379110, 96, 5
31, 171812, 16333200, 61, 5, 2380700, 96, 5
32, 171813, 16340000, 61, 5, 2379180, 96, 5
33, 171814, 16339400, 61, 5, 2381440, 96, 5
34, 171815, 16338800, 61, 5, 2378850, 100, 5
35, 171816, 16340100, 61, 5, 2381670, 96, 5
36, 171817, 16335900, 61, 5, 2378390, 100, 5
37, 171818, 16336200, 61, 5, 2380950, 96, 5
38, 171819, 16517100, 61, 5, 2404560, 95, 5
39, 171821, 16336300, 92, 5, 2378090, 96, 5
40, 171822, 16339400, 61, 5, 2381140, 96, 5
41, 171823, 16342200, 61, 5, 2379360, 100, 5
42, 171824, 16163300, 61, 5, 2355050, 94, 5
43, 171825, 16183200, 61, 5, 2508940, 100, 5
44, 171826, 11883700, 85, 5, 5954810, 100, 5
45, 171827, 11885800, 84, 5, 5951030, 94, 5
46, 171828, 9987960, 90, 5, 7227750, 96, 5
47, 171829, 8332460, 97, 5, 8322700, 97, 5
48, 171830, 8254280, 97, 5, 8453270, 100, 5
49, 171831, 5954860, 100, 5, 11869600, 87, 5
50, 171832, 5954120, 94, 5, 11883300, 87, 5
51, 171834, 4052700, 95, 5, 16347400, 63, 5
52, 171835, 2381310, 100, 5, 16320100, 63, 5
53, 171836, 2381700, 100, 5, 16345300, 63, 5
54, 171837, 2381310, 100, 5, 16321900, 63, 5
55, 171838, 2381390, 96, 5, 16343500, 63, 5
56, 171839, 2381560, 100, 5, 16324500, 63, 5
57, 171840, 2381310, 96, 5, 16343000, 63, 5
58, 171841, 2380740, 94, 5, 16318500, 63, 5
59, 171842, 2381250, 94, 5, 16344000, 63, 5
60, 171843, 2381500, 100, 5, 16325000, 63, 5
61, 171844, 2381700, 96, 5, 16346400, 63, 5
62, 171845, 2381760, 100, 5, 16325100, 63, 5
63, 171846, 2381440, 94, 5, 16349300, 63, 5
64, 171847, 2380890, 96, 5, 16320400, 63, 5
65, 171849, 2381740, 100, 5, 16327000, 63, 5
66, 171850, 2381630, 95, 5, 16346200, 63, 5
67, 171851, 2381120, 94, 5, 16321500, 63, 5
68, 171852, 2381350, 100, 5, 16342000, 63, 5
69, 171853, 2380760, 100, 5, 16321300, 94, 5
70, 171854, 2380670, 100, 5, 16342300, 63, 5
71, 171855, 2380930, 100, 5, 16321500, 63, 5
