#idx, ts,vnf0(nfvi0),tpr,ncore,vnf1(nfvi0),tpr,ncore
0, 001828, 0, 100, 8, 0, 100, 4
1, 001829, 0, 100, 8, 0, 100, 4
2, 001830, 0, 100, 8, 0, 100, 4
3, 001831, 0, 100, 8, 0, 100, 4
4, 001832, 0, 100, 8, 0, 100, 4
5, 001833, 12598100, 97, 8, 2513540, 96, 4
6, 001834, 14907000, 97, 8, 2995800, 96, 4
7, 001835, 14638800, 96, 8, 2959710, 96, 4
8, 001836, 14478000, 96, 8, 2755220, 96, 4
9, 001837, 14636500, 96, 8, 2992860, 96, 4
10, 001838, 14479600, 96, 8, 2574250, 96, 4
11, 001839, 14640300, 96, 8, 2900280, 100, 4
12, 001841, 14475500, 96, 8, 2386120, 100, 4
13, 001842, 14478200, 96, 8, 2960190, 96, 4
14, 001843, 14216800, 96, 8, 3221380, 100, 4
15, 001844, 14187200, 96, 8, 3260710, 96, 4
16, 001845, 14223600, 100, 8, 3404770, 96, 4
17, 001846, 13869800, 96, 8, 3554440, 96, 4
18, 001847, 14030000, 100, 8, 3483520, 96, 4
19, 001848, 13618400, 95, 8, 3812480, 96, 4
20, 001849, 13578500, 95, 8, 3844400, 96, 4
21, 001850, 13629000, 95, 8, 4003550, 96, 4
22, 001851, 13296100, 95, 8, 4143380, 96, 4
23, 001852, 13439400, 95, 8, 4027140, 96, 4
24, 001853, 12769300, 94, 8, 4546350, 95, 4
25, 001854, 12688800, 94, 8, 4741280, 95, 4
26, 001855, 12730400, 94, 8, 4896670, 95, 4
27, 001856, 12423300, 100, 8, 4476470, 94, 4
28, 001858, 12562200, 100, 8, 2543740, 96, 4
29, 001859, 11851200, 93, 8, 2763900, 97, 4
30, 001900, 11705600, 93, 8, 2868100, 97, 4
31, 001901, 11596800, 93, 8, 4722370, 100, 4
32, 001902, 11509400, 93, 8, 5920320, 96, 4
33, 001903, 11134100, 92, 8, 6483040, 97, 4
34, 001904, 10923000, 92, 8, 6512340, 97, 4
35, 001905, 10721000, 100, 8, 6683730, 97, 4
36, 001906, 10463700, 91, 8, 7187830, 98, 4
37, 001907, 10348800, 91, 8, 6445380, 97, 4
38, 001908, 9965520, 90, 8, 7686470, 98, 4
39, 001909, 9763990, 90, 8, 7684860, 98, 4
40, 001910, 9564700, 90, 8, 7892950, 96, 4
41, 001911, 9279740, 89, 8, 8375460, 92, 4
42, 001912, 9175480, 100, 8, 8291040, 92, 4
43, 001913, 8773900, 89, 8, 8581300, 87, 4
44, 001915, 8580490, 89, 8, 6732880, 88, 4
45, 001916, 8383010, 89, 8, 4536100, 92, 4
46, 001917, 8085410, 100, 8, 4736410, 90, 4
47, 001918, 7577150, 100, 8, 5042770, 88, 4
48, 001919, 7392430, 85, 8, 8331910, 75, 4
49, 001920, 7201720, 84, 8, 10250200, 74, 4
50, 001921, 6883870, 83, 8, 10748300, 71, 4
51, 001922, 6808110, 100, 8, 10642900, 71, 4
52, 001923, 6397700, 100, 8, 11254500, 100, 4
53, 001924, 6225040, 100, 8, 11246700, 68, 4
54, 001925, 6033030, 100, 8, 11418800, 66, 4
55, 001926, 5694900, 82, 8, 11964600, 64, 4
56, 001927, 5630990, 81, 8, 11815400, 64, 4
57, 001928, 5447160, 100, 8, 12206200, 63, 4
58, 001929, 5333370, 82, 8, 12107500, 63, 4
59, 001930, 5144850, 84, 8, 12305100, 62, 4
60, 001932, 4791220, 87, 8, 12828900, 60, 4
61, 001933, 4738690, 100, 8, 12704700, 60, 4
62, 001934, 4438890, 100, 8, 13014500, 58, 4
63, 001935, 4256210, 88, 8, 13176300, 58, 4
64, 001936, 3892900, 100, 8, 13748900, 56, 4
65, 001937, 3850250, 89, 8, 13580300, 56, 4
66, 001938, 3652490, 88, 8, 13996100, 55, 4
67, 001939, 3554860, 100, 8, 13877300, 55, 4
68, 001940, 3501900, 87, 8, 14149300, 54, 4
69, 001941, 3259960, 100, 8, 14190300, 53, 4
70, 001942, 3259270, 100, 8, 14206300, 53, 4
71, 001943, 3295940, 85, 8, 14347200, 53, 4
72, 001944, 3259650, 100, 8, 14207200, 53, 4
73, 001946, 3204740, 100, 8, 14434300, 53, 4
74, 001947, 2962560, 88, 8, 14498200, 52, 4
75, 001948, 2962400, 100, 8, 14659800, 52, 4
76, 001949, 2962500, 87, 8, 14479100, 52, 4
77, 001950, 2995400, 84, 8, 14658800, 52, 4
78, 001951, 2962200, 89, 8, 14477400, 52, 4
79, 001952, 2962620, 100, 8, 14499000, 52, 4
80, 001953, 2995710, 100, 8, 14641100, 52, 4
81, 001954, 2961790, 100, 8, 14495300, 52, 4
82, 001955, 2995340, 85, 8, 14640000, 52, 4
83, 001956, 2962550, 100, 8, 14499600, 52, 4
84, 001957, 2994690, 100, 8, 14636800, 52, 4
85, 001958, 2962300, 100, 8, 14496700, 52, 4
86, 001959, 2962690, 100, 8, 14479600, 52, 4
87, 002000, 3079300, 100, 8, 14573300, 52, 4
88, 002001, 3260020, 100, 8, 14189200, 53, 4
89, 002003, 3296320, 87, 8, 14366700, 53, 4
90, 002004, 3489150, 87, 8, 13940700, 55, 4
91, 002005, 3594620, 88, 8, 13794500, 55, 4
92, 002006, 3849510, 100, 8, 13595800, 56, 4
93, 002007, 3893630, 88, 8, 13734000, 56, 4
94, 002008, 4079410, 89, 8, 13377000, 57, 4
95, 002009, 4176620, 100, 8, 13393500, 57, 4
96, 002010, 4224420, 89, 8, 13233800, 57, 4
97, 002011, 4488510, 100, 8, 13143700, 59, 4
98, 002012, 4423230, 89, 8, 12969400, 59, 4
99, 002013, 4720130, 88, 8, 12905800, 60, 4
100, 002014, 4738500, 100, 8, 12705400, 60, 4
101, 002015, 4950460, 100, 8, 12673300, 61, 4
102, 002016, 5334010, 82, 8, 12124800, 63, 4
103, 002017, 5333790, 82, 8, 12108100, 63, 4
104, 002018, 5846100, 100, 8, 11807800, 65, 4
105, 002020, 5925780, 100, 8, 11520500, 66, 4
106, 002021, 6069680, 82, 8, 11586500, 66, 4
107, 002022, 6225900, 100, 8, 11247300, 68, 4
108, 002023, 6738620, 100, 8, 10902600, 70, 4
109, 002024, 6809180, 83, 8, 10646600, 71, 4
110, 002025, 7033000, 100, 8, 10598300, 73, 4
111, 002026, 7393030, 100, 8, 10058800, 76, 4
112, 002027, 7393470, 85, 8, 10047200, 76, 4
113, 002028, 7931960, 100, 8, 9732600, 79, 4
114, 002029, 7996270, 89, 8, 9464390, 80, 4
115, 002030, 8232480, 100, 8, 9432810, 81, 4
116, 002031, 8581440, 100, 8, 8872750, 86, 4
117, 002032, 8579710, 89, 8, 8880940, 86, 4
118, 002033, 9121480, 89, 8, 8531070, 90, 4
119, 002034, 9177010, 89, 8, 8293560, 92, 4
120, 002036, 9421480, 90, 8, 8233630, 93, 4
121, 002037, 9764720, 90, 8, 7686970, 98, 4
122, 002038, 10305000, 91, 8, 7345060, 98, 4
123, 002039, 10347900, 91, 8, 7103030, 98, 4
