#idx, ts,vnf0(nfvi0),tpr,ncore,vnf1(nfvi0),tpr,ncore
0, 183752, 0, 100, 8, 0, 100, 8
1, 183753, 0, 100, 8, 0, 100, 8
2, 183754, 0, 100, 8, 0, 100, 8
3, 183755, 0, 100, 8, 0, 100, 8
4, 183756, 10118500, 96, 8, 2363430, 85, 8
5, 183757, 16409100, 96, 8, 2391880, 88, 8
6, 183759, 16221400, 96, 8, 2362090, 88, 8
7, 183800, 16412100, 96, 8, 2392110, 100, 8
8, 183801, 16232900, 96, 8, 2363530, 100, 8
9, 183802, 16393700, 96, 8, 2389180, 100, 8
10, 183803, 16405100, 96, 8, 2388640, 85, 8
11, 183804, 16219100, 96, 8, 2364210, 91, 8
12, 183805, 16390300, 96, 8, 2386280, 100, 8
13, 183806, 16402900, 96, 8, 2390920, 100, 8
14, 183807, 16222200, 96, 8, 2362050, 100, 8
15, 183808, 16387000, 96, 8, 2388600, 100, 8
16, 183809, 16405500, 96, 8, 2388540, 100, 8
17, 183810, 16221500, 96, 8, 2364210, 100, 8
18, 183811, 16320300, 96, 8, 2376370, 87, 8
19, 183812, 16399000, 96, 8, 2389730, 91, 8
20, 183813, 16385600, 96, 8, 2385700, 100, 8
21, 183815, 16404100, 96, 8, 2388610, 100, 8
22, 183816, 16215300, 96, 8, 2363620, 100, 8
23, 183817, 16382100, 96, 8, 2385540, 92, 8
24, 183818, 16400700, 96, 8, 2390610, 91, 8
25, 183819, 16211700, 96, 8, 2360550, 86, 8
26, 183820, 16377300, 96, 8, 2386860, 90, 8
27, 183821, 16331500, 96, 8, 2378100, 100, 8
28, 183822, 16393800, 96, 8, 2388970, 100, 8
29, 183823, 16386500, 96, 8, 2385590, 83, 8
30, 183824, 16219200, 96, 8, 2363950, 100, 8
31, 183825, 16393600, 96, 8, 2387080, 90, 8
32, 183826, 16391500, 96, 8, 2389360, 100, 8
33, 183827, 16220000, 96, 8, 2361800, 100, 8
34, 183828, 16398100, 96, 8, 2389480, 88, 8
35, 183829, 16218100, 96, 8, 2361740, 100, 8
36, 183830, 16288500, 96, 8, 2371920, 100, 8
37, 183831, 16399700, 96, 8, 2390140, 91, 8
38, 183833, 16398100, 96, 8, 2387420, 91, 8
39, 183834, 16208900, 96, 8, 2362470, 90, 8
40, 183835, 16401600, 96, 8, 2388540, 100, 8
41, 183836, 16217700, 96, 8, 2363480, 87, 8
42, 183837, 16388800, 96, 8, 2385920, 89, 8
43, 183838, 15941600, 96, 8, 2764580, 100, 8
44, 183839, 11812300, 94, 8, 5917380, 84, 8
45, 183840, 11933200, 94, 8, 5982760, 84, 8
46, 183841, 9746290, 92, 8, 7389370, 89, 8
47, 183842, 8306720, 91, 8, 8303560, 91, 8
48, 183843, 8077030, 90, 8, 8620140, 100, 8
49, 183844, 5940310, 84, 8, 11842800, 94, 8
50, 183845, 6004740, 100, 8, 11958800, 94, 8
51, 183846, 3809790, 100, 8, 16268000, 97, 8
52, 183847, 2377240, 100, 8, 16303600, 97, 8
53, 183849, 2373540, 100, 8, 16267000, 97, 8
54, 183850, 2378650, 100, 8, 16312800, 97, 8
55, 183851, 2394240, 100, 8, 16396800, 97, 8
56, 183852, 2373890, 100, 8, 16278600, 97, 8
57, 183853, 2377980, 100, 8, 16285200, 97, 8
58, 183854, 2402820, 100, 8, 16480300, 97, 8
59, 183855, 2372350, 100, 8, 16253900, 97, 8
60, 183856, 2377460, 100, 8, 16304500, 97, 8
61, 183857, 2376780, 88, 8, 16275600, 97, 8
62, 183858, 2374530, 91, 8, 16280800, 97, 8
63, 183859, 2404100, 100, 8, 16463300, 97, 8
64, 183900, 2375490, 100, 8, 16296300, 97, 8
65, 183901, 2372100, 100, 8, 16246800, 97, 8
66, 183902, 2378690, 100, 8, 16311100, 97, 8
67, 183903, 2403610, 85, 8, 16484700, 100, 8
68, 183905, 2377730, 100, 8, 16282900, 100, 8
69, 183906, 2376320, 100, 8, 16296600, 97, 8
70, 183907, 2378370, 100, 8, 16287200, 97, 8
71, 183908, 2377090, 100, 8, 16301100, 100, 8
72, 183909, 2374080, 83, 8, 16269200, 97, 8
73, 183910, 2378070, 100, 8, 16308000, 97, 8
74, 183911, 2394660, 91, 8, 16396100, 97, 8
75, 183912, 2375040, 100, 8, 16286500, 100, 8
76, 183913, 2377610, 100, 8, 16282300, 97, 8
77, 183914, 2376270, 100, 8, 16306400, 97, 8
78, 183915, 2402160, 84, 8, 16448600, 97, 8
79, 183916, 2377800, 100, 8, 16306700, 97, 8
80, 183917, 2377020, 87, 8, 16279300, 97, 8
81, 183918, 2374980, 83, 8, 16286700, 97, 8
82, 183919, 2378620, 88, 8, 16289400, 97, 8
83, 183920, 2377860, 100, 8, 16385500, 97, 8
84, 183921, 2376960, 100, 8, 16299000, 97, 8
85, 183923, 2377550, 100, 8, 16281700, 97, 8
86, 183924, 2401520, 100, 8, 16470300, 97, 8
87, 183925, 2377860, 100, 8, 16284800, 97, 8
88, 183926, 2376750, 100, 8, 16298200, 97, 8
89, 183927, 2374040, 100, 8, 16266500, 97, 8
90, 183928, 2513350, 100, 8, 16141800, 97, 8
91, 183929, 5937020, 84, 8, 11822900, 94, 8
92, 183930, 5997590, 84, 8, 11959700, 94, 8
93, 183931, 7181650, 88, 8, 9887360, 93, 8
94, 183932, 8399600, 91, 8, 8395580, 91, 8
95, 183933, 8409830, 91, 8, 8203240, 91, 8
96, 183934, 11943600, 94, 8, 5988630, 84, 8
97, 183935, 11808400, 94, 8, 5914610, 84, 8
98, 183936, 14149700, 95, 8, 4035730, 84, 8
99, 183937, 16400100, 96, 8, 2390170, 91, 8
100, 183938, 16202800, 96, 8, 2359510, 91, 8
101, 183940, 16397500, 96, 8, 2390000, 90, 8
102, 183941, 16277500, 96, 8, 2370130, 90, 8
103, 183942, 16390600, 96, 8, 2388460, 84, 8
104, 183943, 16399800, 96, 8, 2388170, 86, 8
105, 183944, 16208200, 96, 8, 2362170, 89, 8
106, 183945, 16402400, 96, 8, 2388460, 100, 8
107, 183946, 16399100, 96, 8, 2390130, 92, 8
108, 183947, 16211900, 96, 8, 2360100, 100, 8
109, 183948, 16403400, 96, 8, 2390890, 100, 8
110, 183949, 16398800, 100, 8, 2388030, 100, 8
111, 183950, 16208800, 96, 8, 2362240, 100, 8
112, 183951, 16329200, 96, 8, 2377350, 86, 8
113, 183952, 16399900, 96, 8, 2390340, 100, 8
114, 183953, 16389100, 96, 8, 2386470, 89, 8
115, 183954, 16401200, 96, 8, 2387970, 91, 8
116, 183956, 16206300, 96, 8, 2362110, 86, 8
117, 183957, 16401100, 96, 8, 2388280, 100, 8
118, 183958, 16392300, 96, 8, 2389590, 89, 8
119, 183959, 16203900, 96, 8, 2359540, 90, 8
120, 184000, 16400000, 96, 8, 2390180, 100, 8
121, 184001, 16286900, 96, 8, 2371840, 100, 8
122, 184002, 16386600, 96, 8, 2388400, 100, 8
123, 184003, 16404000, 96, 8, 2388570, 92, 8
124, 184004, 16215800, 96, 8, 2363520, 100, 8
125, 184005, 16380800, 96, 8, 2385310, 100, 8
126, 184006, 16397500, 96, 8, 2390060, 89, 8
127, 184007, 16215200, 96, 8, 2361140, 83, 8
128, 184008, 16350100, 96, 8, 2383030, 100, 8
129, 184009, 16399800, 96, 8, 2387940, 100, 8
130, 184010, 16216400, 96, 8, 2363520, 100, 8
131, 184011, 16214200, 96, 8, 2363260, 100, 8
132, 184013, 16397200, 96, 8, 2387720, 100, 8
133, 184014, 16390800, 96, 8, 2389040, 91, 8
134, 184015, 16220100, 96, 8, 2361830, 87, 8
135, 184016, 16392500, 96, 8, 2389150, 91, 8
136, 184017, 16212700, 96, 8, 2360830, 100, 8
137, 184018, 16398600, 96, 8, 2389990, 100, 8
138, 184019, 12035900, 94, 8, 5901230, 84, 8
139, 184020, 11812700, 94, 8, 5922770, 100, 8
140, 184021, 10199800, 93, 8, 7096670, 88, 8
141, 184022, 8302280, 91, 8, 8299470, 91, 8
142, 184023, 8311700, 91, 8, 8298760, 91, 8
143, 184024, 6079120, 84, 8, 11866300, 95, 8
144, 184025, 5935920, 84, 8, 11822000, 95, 8
145, 184026, 4259640, 86, 8, 13946200, 96, 8
146, 184027, 2377600, 91, 8, 16293000, 97, 8
147, 184028, 2377630, 82, 8, 16292300, 97, 8
148, 184030, 2404580, 100, 8, 16492100, 97, 8
149, 184031, 2366530, 87, 8, 16206500, 97, 8
150, 184032, 2377220, 100, 8, 16302400, 97, 8
151, 184033, 2377410, 91, 8, 16281700, 97, 8
152, 184034, 2401080, 100, 8, 16447200, 97, 8
153, 184035, 2378360, 100, 8, 16286800, 97, 8
154, 184036, 2376840, 100, 8, 16303500, 97, 8
155, 184037, 2373570, 100, 8, 16268100, 97, 8
156, 184038, 2378100, 82, 8, 16315800, 97, 8
157, 184039, 2378000, 100, 8, 16284700, 97, 8
158, 184040, 2400770, 100, 8, 16464400, 97, 8
159, 184041, 2368450, 100, 8, 16220800, 97, 8
160, 184042, 2377090, 100, 8, 16303300, 97, 8
161, 184043, 2400770, 88, 8, 16442500, 97, 8
162, 184044, 2378530, 100, 8, 16312000, 97, 8
163, 184045, 2373570, 90, 8, 16277900, 100, 8
164, 184046, 2378690, 100, 8, 16291900, 97, 8
165, 184048, 2377600, 100, 8, 16303400, 97, 8
166, 184049, 2376060, 82, 8, 16284700, 97, 8
167, 184050, 2404800, 100, 8, 16488300, 97, 8
168, 184051, 2366070, 88, 8, 16204100, 97, 8
169, 184052, 2375300, 82, 8, 16289600, 97, 8
170, 184053, 2378370, 85, 8, 16286900, 97, 8
171, 184054, 2402880, 89, 8, 16477700, 97, 8
172, 184055, 2377220, 100, 8, 16277700, 97, 8
173, 184056, 2377860, 100, 8, 16309700, 97, 8
174, 184057, 2376130, 87, 8, 16274000, 97, 8
175, 184058, 2378500, 87, 8, 16308900, 97, 8
176, 184059, 2378180, 83, 8, 16288900, 97, 8
177, 184100, 2403140, 90, 8, 16479600, 97, 8
178, 184101, 2367420, 88, 8, 16212900, 97, 8
179, 184102, 2377220, 100, 8, 16312600, 97, 8
180, 184103, 2379070, 100, 8, 16315900, 97, 8
181, 184105, 2404480, 100, 8, 16468400, 97, 8
182, 184106, 2375940, 100, 8, 16293400, 97, 8
183, 184107, 2378750, 84, 8, 16291000, 97, 8
184, 184108, 2375790, 100, 8, 16304600, 97, 8
185, 184109, 5642580, 100, 8, 12186300, 95, 8
186, 184110, 5939520, 100, 8, 11842300, 94, 8
187, 184111, 6976810, 87, 8, 10450400, 93, 8
188, 184112, 8297300, 91, 8, 8293880, 91, 8
189, 184113, 8403350, 91, 8, 8391030, 91, 8
190, 184114, 11519500, 100, 8, 6121070, 100, 8
191, 184115, 11796900, 94, 8, 5909030, 84, 8
192, 184116, 7071890, 94, 8, 3543860, 84, 8
193, 184117, 0, 100, 8, 0, 100, 8
194, 184118, 0, 100, 8, 0, 100, 8
