#idx, ts,vnf0(nfvi0),tpr,ncore,vnf1(nfvi0),tpr,ncore
140, 032949, 3219610, 99, 1, 14396500, 98, 4
141, 032950, 2959580, 99, 1, 14458700, 98, 4
142, 032951, 2989780, 100, 1, 14617800, 98, 4
143, 032952, 2959600, 99, 1, 14459400, 98, 4
144, 032953, 2990400, 100, 1, 14622700, 98, 4
145, 032954, 2959640, 100, 1, 14458800, 98, 4
146, 032955, 2311460, 99, 1, 11300300, 98, 4
147, 032957, 0, 100, 1, 0, 100, 2
148, 032958, 0, 100, 1, 0, 100, 1
149, 032959, 0, 100, 1, 0, 100, 1
150, 033000, 0, 100, 1, 0, 100, 1
151, 033001, 0, 100, 1, 0, 100, 1
152, 033002, 0, 100, 1, 0, 100, 1
153, 033003, 0, 100, 1, 0, 100, 1
