#####    flow0  tpr1   tpr2   tpr4 
00001,   00000, 00000, 00000, 00000
00002,   00100, 00039, 00054, 00066
00003,   00099, 00038, 00060, 00067
00004,   00099, 00038, 00063, 00068
00005,   00098, 00039, 00062, 00068
00006,   00096, 00042, 00064, 00069
00007,   00095, 00038, 00063, 00070
00008,   00093, 00038, 00065, 00071
00009,   00090, 00040, 00068, 00073
00010,   00087, 00040, 00068, 00075
00011,   00084, 00046, 00071, 00078
00012,   00081, 00045, 00073, 00082
00013,   00078, 00043, 00076, 00085
00014,   00074, 00050, 00076, 00089
00015,   00070, 00051, 00080, 00094
00016,   00066, 00057, 00087, 00098
00017,   00062, 00058, 00093, 00100
00018,   00058, 00058, 00096, 00100
00019,   00054, 00061, 00099, 00100
00020,   00050, 00069, 00099, 00100
00021,   00047, 00077, 00100, 00100
00022,   00043, 00079, 00100, 00100
00023,   00039, 00087, 00100, 00100
00024,   00036, 00094, 00100, 00100
00025,   00033, 00098, 00100, 00100
00026,   00030, 00099, 00100, 00100
00027,   00027, 00097, 00100, 00100
00028,   00025, 00099, 00100, 00100
00029,   00023, 00100, 00100, 00100
00030,   00022, 00100, 00100, 00100
00031,   00021, 00100, 00100, 00100
00032,   00020, 00100, 00100, 00100
00033,   00020, 00100, 00100, 00100
00034,   00020, 00100, 00100, 00100
00035,   00020, 00100, 00100, 00100
00036,   00021, 00100, 00100, 00100
00037,   00022, 00100, 00100, 00099
00038,   00024, 00100, 00100, 00100
00039,   00026, 00100, 00100, 00100
00040,   00028, 00100, 00100, 00100
00041,   00030, 00098, 00100, 00100
00042,   00033, 00098, 00100, 00100
00043,   00037, 00096, 00100, 00100
00044,   00040, 00090, 00100, 00100
00045,   00043, 00092, 00100, 00100
00046,   00047, 00085, 00100, 00100
00047,   00051, 00075, 00099, 00100
00048,   00055, 00071, 00099, 00100
00049,   00059, 00065, 00099, 00100
00050,   00063, 00062, 00095, 00100
00051,   00067, 00061, 00095, 00099
00052,   00071, 00056, 00090, 00096
00053,   00075, 00052, 00088, 00091
00054,   00078, 00047, 00084, 00087
00055,   00082, 00047, 00073, 00083
00056,   00085, 00046, 00070, 00080
00057,   00088, 00046, 00066, 00076
00058,   00091, 00044, 00067, 00074
00059,   00093, 00041, 00067, 00072
00060,   00095, 00041, 00060, 00071
00061,   00097, 00040, 00057, 00069
00062,   00098, 00034, 00064, 00068
00063,   00099, 00038, 00063, 00068
